T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655228219999,22515.89000000,22614.967142857146,22529.690908212506,False,False
1655228279999,22438.42000000,22583.24142857143,22510.422514009606,False,False
1655228339999,22484.34000000,22556.219999999998,22489.335899516856,False,False
1655228399999,22433.32000000,22519.101428571426,22467.746423188357,False,False
1655228459999,22428.72000000,22485.944285714282,22449.46823574874,False,False
1655228519999,22445.27000000,22468.08571428571,22431.51329275357,False,False
1655228579999,22413.38000000,22451.334285714285,22415.80010821251,False,False
1655228639999,22381.20000000,22432.092857142856,22404.68746473425,False,False
1655228699999,22410.16000000,22428.055714285718,22397.812108212507,False,False
1655228759999,22444.83000000,22422.411428571428,22396.583683091736,False,False
1655228819999,22390.00000000,22416.222857142857,22398.547070531353,False,False
1655228879999,22354.63000000,22405.63857142857,22401.52960386468,False,False
1655228939999,22414.63000000,22401.26142857143,22402.844374879176,True,False
1655228999999,22396.03000000,22398.782857142858,22400.52531400961,False,False
1655229059999,22404.64000000,22402.13142857143,22396.47020676323,False,True
1655229119999,22411.94000000,22402.385714285716,22399.42937584536,False,False
1655229179999,22402.54000000,22396.344285714287,22400.278989371924,True,False
1655229239999,22418.71000000,22400.445714285714,22402.154769082073,False,False
1655229299999,22422.45000000,22410.134285714284,22399.368693719753,False,True
1655229359999,22406.11000000,22408.917142857146,22403.212349758403,False,False
1655229419999,22409.48000000,22410.838571428572,22405.58012173908,False,False
1655229479999,22412.50000000,22411.961428571427,22410.95454106275,False,False
1655229539999,22410.36000000,22411.735714285714,22420.09292946855,True,False
1655229599999,22358.56000000,22405.45285714286,22427.149752656955,False,False
1655229659999,22375.81000000,22399.324285714287,22427.729574879177,False,False
1655229719999,22465.52000000,22405.477142857144,22431.811961352607,False,False
1655229779999,22461.73000000,22413.422857142858,22433.288705313957,False,False
1655229839999,22422.24000000,22415.245714285713,22433.581426086905,False,False
1655229899999,22430.17000000,22417.77,22434.644801932314,False,False
1655229959999,22422.15000000,22419.454285714284,22436.213314009612,False,False
1655230019999,22556.10000000,22447.674285714285,22437.224340096567,False,True
1655230079999,22456.69000000,22459.22857142857,22437.942146859852,False,False
1655230139999,22456.06000000,22457.877142857145,22437.58196714971,False,False
1655230199999,22435.92000000,22454.19,22437.945708212508,False,False
1655230259999,22412.16000000,22452.75,22439.445543961298,False,False
1655230319999,22380.93000000,22445.715714285714,22443.093607729417,False,False
1655230379999,22426.52000000,22446.34,22442.01186473425,False,False
1655230439999,22412.68000000,22425.851428571426,22442.136701449224,True,False
1655230499999,22429.23000000,22421.928571428572,22445.874948792218,False,False
1655230559999,22455.03000000,22421.78142857143,22446.393806763233,False,False
1655230619999,22453.90000000,22424.350000000002,22446.538338164202,False,False
1655230679999,22434.64000000,22427.56142857143,22449.66685990333,False,False
1655230739999,22459.89000000,22438.84142857143,22454.236318840525,False,False
1655230799999,22480.00000000,22446.481428571427,22465.454098550672,False,False
1655230859999,22495.67000000,22458.33714285714,22469.31395748787,False,False
1655230919999,22500.06000000,22468.455714285716,22469.574883091736,False,False
1655230979999,22495.75000000,22474.272857142856,22466.391269565163,False,True
1655231039999,22459.10000000,22475.015714285713,22464.56597101444,False,False
1655231099999,22467.85000000,22479.76,22461.022867632797,False,False
1655231159999,22432.75000000,22475.882857142857,22458.446898550676,False,False
1655231219999,22445.61000000,22470.97,22454.856239613473,False,False
1655231279999,22510.00000000,22473.01714285714,22454.03624154584,False,False
1655231339999,22490.89000000,22471.70714285714,22457.30283864729,False,False
1655231399999,22442.27000000,22464.06714285714,22462.570285990285,False,False
1655231459999,22380.80000000,22452.88142857143,22467.995033816376,True,False
1655231519999,22392.23000000,22442.07857142857,22474.152314975792,False,False
1655231579999,22419.80000000,22440.22857142857,22480.59037681154,False,False
1655231639999,22484.03000000,22445.717142857142,22489.998280193184,False,False
1655231699999,22546.27000000,22450.89857142857,22501.66906859898,False,False
1655231759999,22521.30000000,22455.242857142857,22514.18937584536,False,False
1655231819999,22519.70000000,22466.304285714283,22523.12347826082,False,False
1655231879999,22556.25000000,22491.36857142857,22528.618054106224,False,False
1655231939999,22580.00000000,22518.192857142854,22528.741874396084,False,False
1655231999999,22570.01000000,22539.65142857143,22522.791994202846,False,True
1655232059999,22544.60000000,22548.304285714286,22516.11581062797,False,False
1655232119999,22518.27000000,22544.304285714286,22505.916933333283,False,False
1655232179999,22486.45000000,22539.325714285715,22491.362836714925,False,False
1655232239999,22482.08000000,22533.95142857143,22470.17102415454,False,False
1655232299999,22488.71000000,22524.302857142855,22445.27292946855,False,False
1655232359999,22446.57000000,22505.24142857143,22416.741178743912,False,False
1655232419999,22390.90000000,22479.654285714285,22391.416917874347,False,False
1655232479999,22330.12000000,22449.014285714282,22368.05682318836,False,False
1655232539999,22286.14000000,22415.852857142858,22344.428892753574,False,False
1655232599999,22273.99000000,22385.501428571424,22321.62875169077,False,False
1655232659999,22241.81000000,22351.17714285714,22304.27602705309,False,False
1655232719999,22269.97000000,22319.928571428572,22292.607426086906,False,False
1655232779999,22292.95000000,22297.98285714286,22284.058421255988,False,False
1655232839999,22300.12000000,22285.014285714286,22278.353491787388,False,False
1655232899999,22281.87000000,22278.121428571427,22272.248531400914,False,False
1655232959999,22264.41000000,22275.01714285714,22268.794937198018,False,False
1655233019999,22261.51000000,22273.234285714287,22268.35291787435,False,False
1655233079999,22290.62000000,22280.207142857143,22271.18262995164,False,False
1655233139999,22267.68000000,22279.879999999997,22273.368086956474,False,False
1655233199999,22296.15000000,22280.33714285714,22274.793076328453,False,False
1655233259999,22294.68000000,22279.56,22277.376083091738,False,False
1655233319999,22301.61000000,22282.38,22277.209057004777,False,False
1655233379999,22282.30000000,22284.935714285715,22274.091688888835,False,False
1655233439999,22258.37000000,22284.487142857142,22264.08181062797,False,False
1655233499999,22249.11000000,22278.557142857142,22254.287715941977,False,False
1655233559999,22225.62000000,22272.54857142857,22246.419779710093,False,False
1655233619999,22255.56000000,22266.75,22238.036941062754,False,False
1655233679999,22227.05000000,22257.088571428572,22229.469513043427,False,False
1655233739999,22212.63000000,22244.377142857145,22218.923905313957,False,False
1655233799999,22210.69000000,22234.147142857142,22207.62625314005,False,False
1655233859999,22229.29000000,22229.992857142854,22199.024129468547,False,False
1655233919999,22227.01000000,22226.835714285717,22190.665677294633,False,False
1655233979999,22155.70000000,22216.847142857147,22185.918707246325,False,False
1655234039999,22131.06000000,22199.06142857143,22181.01077294681,False,False
1655234099999,22130.30000000,22185.239999999998,22178.817211594152,False,False
1655234159999,22179.55000000,22180.514285714282,22176.847294685937,False,False
1655234219999,22184.45000000,22176.765714285713,22173.655679227002,False,False
1655234279999,22166.34000000,22167.772857142856,22171.63384541058,True,False
