open_time,Open,High,Low,Close,Volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,Price Movement,SMA 7,EMA 7,SMA 25,sav gol,Pos Crossing,Neg Crossing
1654399200000,0.00127000,0.00128000,0.00127000,0.00128,916945.00000000,1654399499999,1172.73967000,10,821952.00000000,1052.09856000,0,0.7812500000000019,0.0012757142857142858,0.0012750465629622107,0.0012624000000000001,0.0012752115942028955,False,True
1654399500000,0.00127000,0.00128000,0.00127000,0.00127,751501.00000000,1654399799999,954.73871000,5,33244.00000000,42.55232000,0,-0.7874015748031516,0.0012757142857142858,0.001273784922221658,0.0012632000000000001,0.0012748830917874367,False,False
1654399800000,0.00127000,0.00127000,0.00127000,0.00127,268830.00000000,1654400099999,341.41410000,1,0.00000000,0.00000000,0,0.0,0.0012742857142857143,0.0012728386916662435,0.0012640000000000001,0.0012735632850241515,False,False
1654400100000,0.00128000,0.00128000,0.00127000,0.00127,168026.00000000,1654400399999,213.47963000,2,8661.00000000,11.08608000,0,0.0,0.0012742857142857143,0.0012721290187496827,0.0012648000000000002,0.001273182608695649,False,False
1654400400000,0.00127000,0.00127000,0.00127000,0.00127,31662.00000000,1654400699999,40.21074000,1,0.00000000,0.00000000,0,0.0,0.001272857142857143,0.001271596764062262,0.0012656,0.0012725410628019293,False,False
1654400700000,0.00127000,0.00128000,0.00127000,0.00128,335254.00000000,1654400999999,425.93022000,3,15764.00000000,20.17792000,0,0.7812500000000019,0.001272857142857143,0.0012736975730466965,0.0012668000000000002,0.0012716579710144898,False,False
1654401000000,0.00127000,0.00127000,0.00126000,0.00127,2051454.00000000,1654401299999,2603.71244000,26,1021733.00000000,1297.60091000,0,-0.7874015748031516,0.001272857142857143,0.0012727731797850224,0.0012676,0.001270552657004828,False,False
1654401300000,0.00127000,0.00128000,0.00127000,0.00127,535426.00000000,1654401599999,680.25685000,6,26583.00000000,34.02624000,0,0.0,0.0012714285714285714,0.0012720798848387669,0.0012684,0.0012687555555555526,False,False
1654401600000,0.00127000,0.00127000,0.00127000,0.00127,1841562.00000000,1654401899999,2338.78374000,7,0.00000000,0.00000000,0,0.0,0.0012714285714285714,0.0012715599136290752,0.0012692,0.0012682164251207701,False,False
1654401900000,0.00128000,0.00128000,0.00127000,0.00127,1144880.00000000,1654402199999,1454.53000000,8,105310.00000000,134.27610000,0,0.0,0.0012714285714285714,0.0012711699352218064,0.00127,0.0012670241545893691,False,False
1654402200000,0.00127000,0.00127000,0.00126000,0.00126,7212723.00000000,1654402499999,9088.28758000,46,2111960.00000000,2661.32620000,0,-0.7936507936507957,0.00127,0.0012683774514163548,0.0012704,0.001266417391304345,False,False
1654402500000,0.00126000,0.00127000,0.00126000,0.00127,518942.00000000,1654402799999,657.17435000,6,330743.00000000,420.04361000,0,0.7874015748031516,0.00127,0.0012687830885622661,0.0012704,0.0012659458937198038,False,False
1654402800000,0.00126000,0.00127000,0.00126000,0.00126,760302.00000000,1654403099999,964.39277000,12,641225.00000000,814.35575000,0,-0.7936507936507957,0.0012671428571428573,0.0012665873164216996,0.0012704,0.0012644289855072437,False,False
1654403100000,0.00126000,0.00127000,0.00126000,0.00126,343191.00000000,1654403399999,433.49834000,7,107768.00000000,136.86536000,0,0.0,0.0012657142857142856,0.0012649404873162748,0.0012704,0.001264305314009659,False,False
1654403400000,0.00126000,0.00127000,0.00126000,0.00127,378756.00000000,1654403699999,479.71922000,2,248666.00000000,315.80582000,0,0.7874015748031516,0.0012657142857142856,0.001266205365487206,0.0012708000000000003,0.0012631748792270503,False,False
1654403700000,0.00127000,0.00127000,0.00126000,0.00126,1075031.00000000,1654403999999,1357.61772000,6,307866.00000000,390.98982000,0,-0.7936507936507957,0.0012642857142857143,0.0012646540241154046,0.0012704,0.001262745893719804,False,False
1654404000000,0.00127000,0.00127000,0.00126000,0.00126,132167.00000000,1654404299999,167.70750000,5,117708.00000000,149.48916000,0,0.0,0.001262857142857143,0.0012634905180865534,0.00127,0.0012623072463768086,False,False
1654404300000,0.00126000,0.00126000,0.00126000,0.00126,0.00000000,1654404599999,0.00000000,0,0.00000000,0.00000000,0,0.0,0.001262857142857143,0.001262617888564915,0.0012696,0.0012618782608695622,False,False
1654404600000,0.00126000,0.00126000,0.00126000,0.00126,54519.00000000,1654404899999,68.69394000,2,0.00000000,0.00000000,0,0.0,0.0012614285714285715,0.0012619634164236862,0.0012692,0.0012617198067632824,True,False
1654404900000,0.00126000,0.00127000,0.00126000,0.00127,335958.00000000,1654405199999,423.82724000,5,52016.00000000,66.06032000,0,0.7874015748031516,0.001262857142857143,0.0012639725623177648,0.0012692,0.0012618512077294656,False,True
1654405200000,0.00126000,0.00126000,0.00126000,0.00126,7272756.00000000,1654405499999,9163.67256000,28,0.00000000,0.00000000,0,-0.7936507936507957,0.001262857142857143,0.0012629794217383235,0.0012684,0.0012615613526570021,False,False
1654405500000,0.00127000,0.00127000,0.00126000,0.00126,760894.00000000,1654405799999,958.81305000,5,8661.00000000,10.99947000,0,0.0,0.0012614285714285713,0.0012622345663037427,0.001268,0.0012620695652173883,True,False
1654405800000,0.00126000,0.00126000,0.00126000,0.00126,1094277.00000000,1654406099999,1378.78902000,5,0.00000000,0.00000000,0,0.0,0.0012614285714285715,0.001261675924727807,0.0012672,0.001262664734299514,False,False
1654406100000,0.00126000,0.00126000,0.00126000,0.00126,0.00000000,1654406399999,0.00000000,0,0.00000000,0.00000000,0,0.0,0.0012614285714285715,0.0012612569435458553,0.0012664,0.0012626357487922678,False,False
1654406400000,0.00127000,0.00127000,0.00126000,0.00127,646508.00000000,1654406699999,816.79698000,6,219690.00000000,279.00630000,0,0.7874015748031516,0.001262857142857143,0.0012634427076593914,0.0012664,0.0012627130434782578,False,True
1654406700000,0.00126000,0.00126000,0.00126000,0.00126,103502.00000000,1654406999999,130.41252000,4,0.00000000,0.00000000,0,-0.7936507936507957,0.001262857142857143,0.0012625820307445436,0.0012656,0.001262407729468596,False,False
1654407000000,0.00127000,0.00127000,0.00127000,0.00127,114600.00000000,1654407299999,145.54200000,3,114600.00000000,145.54200000,0,0.7874015748031516,0.001262857142857143,0.0012644365230584076,0.0012656,0.0012626782608695622,False,False
1654407300000,0.00126000,0.00126000,0.00126000,0.00126,262240.00000000,1654407599999,330.42240000,2,0.00000000,0.00000000,0,-0.7936507936507957,0.001262857142857143,0.0012633273922938058,0.0012652000000000002,0.0012635246376811566,True,False
1654407600000,0.00126000,0.00126000,0.00126000,0.00126,123542.00000000,1654407899999,155.66292000,2,0.00000000,0.00000000,0,0.0,0.001262857142857143,0.0012624955442203543,0.0012648000000000002,0.0012637468599033786,False,False
1654407900000,0.00126000,0.00126000,0.00126000,0.00126,173404.00000000,1654408199999,218.48904000,2,0.00000000,0.00000000,0,0.0,0.001262857142857143,0.0012618716581652657,0.0012644,0.001263344927536229,False,False
1654408200000,0.00126000,0.00127000,0.00126000,0.00127,633629.00000000,1654408499999,803.89496000,3,552242.00000000,701.34734000,0,0.7874015748031516,0.0012642857142857143,0.0012639037436239493,0.0012640000000000001,0.0012635188405797073,False,True
1654408500000,0.00126000,0.00126000,0.00126000,0.00126,230150.00000000,1654408799999,289.98900000,2,0.00000000,0.00000000,0,-0.7936507936507957,0.001262857142857143,0.001262927807717962,0.0012636,0.001263538164251205,True,False
1654408800000,0.00127000,0.00127000,0.00126000,0.00127,3819513.00000000,1654409099999,4846.78300000,25,3419662.00000000,4342.97074000,0,0.7874015748031516,0.0012642857142857143,0.0012646958557884715,0.0012636,0.0012636444444444415,False,True
