T,c,SMA 7,sav gol,Pos Crossing,Neg Crossing
1655075459999,27077.52000000,27030.582857142854,27089.665909178682,False,False
1655075519999,27124.31000000,27050.471428571425,27093.856115941962,False,False
1655075579999,27134.12000000,27069.622857142855,27095.928013526507,False,False
1655075639999,27170.03000000,27091.795714285712,27095.467385507185,False,False
1655075699999,27153.72000000,27110.60857142857,27101.635648309115,False,True
1655075759999,27135.26000000,27125.18857142857,27103.201070531344,False,False
1655075819999,27100.33000000,27127.89857142857,27100.43799227047,False,False
1655075879999,27071.71000000,27127.068571428572,27093.773277294626,False,False
1655075939999,27093.66000000,27122.690000000002,27086.0387903381,False,False
1655075999999,27065.16000000,27112.838571428572,27080.03546280187,False,False
1655076059999,27071.58000000,27098.774285714288,27075.19350724631,False,False
1655076119999,27007.26000000,27077.85142857143,27071.92789951685,False,False
1655076179999,27019.46000000,27061.308571428573,27069.043304347764,True,False
1655076239999,27049.00000000,27053.975714285716,27061.66084057965,False,False
1655076299999,27030.30000000,27048.059999999998,27058.007721739068,False,False
1655076359999,27051.48000000,27042.034285714286,27055.812065700422,False,False
1655076419999,27042.83000000,27038.844285714287,27055.26769855066,False,False
1655076479999,27064.20000000,27037.79,27052.427644444382,False,False
1655076539999,27082.24000000,27048.501428571424,27054.09891594197,False,False
1655076599999,27099.99000000,27060.005714285715,27055.526017391243,False,True
1655076659999,27115.30000000,27069.477142857144,27055.072473429886,False,False
1655076719999,27083.41000000,27077.06428571429,27052.567035748732,False,False
1655076779999,27040.72000000,27075.527142857143,27039.47877101443,False,False
1655076839999,26977.19000000,27066.15,27031.77847342989,False,False
1655076899999,26969.72000000,27052.652857142857,27012.475431883995,False,False
1655076959999,27008.87000000,27042.17142857143,26989.16617777772,False,False
1655077019999,26975.54000000,27024.39285714286,26962.622705313952,False,False
1655077079999,26945.96000000,27000.20142857143,26939.52322705308,False,False
1655077139999,26949.08000000,26981.01142857143,26914.532840579646,False,False
1655077199999,26982.93000000,26972.755714285715,26892.243750724574,False,False
1655077259999,26889.75000000,26960.264285714286,26874.218942995103,False,False
1655077319999,26823.78000000,26939.415714285715,26859.30779323665,False,False
1655077379999,26761.79000000,26904.118571428575,26849.86135458931,False,False
1655077439999,26746.34000000,26871.375714285714,26840.10306473424,False,False
1655077499999,26846.95000000,26857.231428571427,26830.526112077237,False,False
1655077559999,26717.31000000,26824.121428571427,26823.95174879221,False,False
1655077619999,26782.64000000,26795.50857142857,26813.729671497524,True,False
1655077679999,26816.29000000,26785.014285714286,26807.9326608695,False,False
1655077739999,26890.74000000,26794.579999999998,26798.807136231826,False,False
1655077799999,26814.15000000,26802.06,26788.573107246313,False,True
1655077859999,26867.73000000,26819.40142857143,26780.135155555494,False,False
1655077919999,26827.01000000,26816.552857142855,26774.090490821196,False,False
1655077979999,26783.31000000,26825.98142857143,26776.872566183516,False,False
1655078039999,26758.24000000,26822.495714285713,26770.408141062737,False,False
1655078099999,26693.98000000,26805.022857142856,26758.155887922643,False,False
1655078159999,26737.30000000,26783.102857142858,26736.138577777714,False,False
1655078219999,26743.92000000,26773.07,26707.650973912983,False,False
1655078279999,26677.63000000,26745.912857142856,26688.02243285018,False,False
1655078339999,26676.74000000,26724.445714285717,26664.879101449216,False,False
1655078399999,26574.53000000,26694.62,26643.748258937136,False,False
1655078459999,26662.00000000,26680.87142857143,26623.406991304284,False,False
1655078519999,26672.04000000,26677.73714285714,26614.02023961346,False,False
1655078579999,26628.76000000,26662.231428571427,26605.940456038585,False,False
1655078639999,26598.66000000,26641.480000000003,26607.07172946854,False,False
1655078699999,26483.40000000,26613.73285714286,26608.14549951685,False,False
1655078759999,26527.55000000,26592.420000000002,26609.09595942023,True,False
1655078819999,26531.70000000,26586.301428571427,26602.075223188345,False,False
1655078879999,26604.15000000,26578.037142857145,26595.768573912977,False,False
1655078939999,26690.14000000,26580.62285714286,26594.98269758448,False,False
1655078999999,26673.05000000,26586.95,26598.550013526507,False,False
1655079059999,26613.19000000,26589.02571428571,26600.026367149694,False,False
1655079119999,26642.06000000,26611.691428571427,26608.1197198067,False,True
1655079179999,26700.71000000,26636.428571428572,26615.612971980616,False,False
1655079239999,26662.57000000,26655.124285714286,26627.744305313943,False,False
1655079299999,26623.06000000,26657.82571428571,26642.76309565211,False,False
1655079359999,26566.55000000,26640.170000000002,26658.160098550663,True,False
1655079419999,26569.19000000,26625.33285714286,26674.893008695588,False,False
1655079479999,26560.10000000,26617.74857142857,26682.750071497525,False,False
1655079539999,26722.11000000,26629.184285714287,26693.38336618351,False,False
1655079599999,26717.00000000,26631.511428571426,26701.916774879166,False,False
1655079659999,26739.12000000,26642.447142857145,26715.27547632844,False,False
1655079719999,26762.55000000,26662.374285714286,26728.647201932305,False,False
1655079779999,26822.97000000,26699.00571428571,26740.786660869504,False,False
1655079839999,26794.34000000,26731.170000000002,26751.08413526564,False,False
1655079899999,26742.72000000,26757.258571428574,26763.64546280187,False,False
1655079959999,26784.70000000,26766.2,26780.12299516902,False,False
1655080019999,26805.91000000,26778.90142857143,26795.339406763225,False,False
1655080079999,26808.93000000,26788.874285714286,26807.169114975783,False,False
1655080139999,26785.04000000,26792.087142857144,26815.221942028922,False,False
1655080199999,26808.75000000,26790.055714285718,26811.62068212554,False,False
1655080259999,26774.20000000,26787.178571428572,26801.702942995104,False,False
1655080319999,26774.62000000,26791.735714285714,26797.675528502354,False,False
1655080379999,26728.09000000,26783.648571428574,26793.7974608695,False,False
1655080439999,26808.13000000,26783.965714285714,26784.795428019264,False,False
1655080499999,26837.00000000,26787.975714285716,26777.474815458874,False,True
1655080559999,26813.78000000,26792.08142857143,26771.9902376811,False,False
1655080619999,26790.17000000,26789.42714285714,26763.98309758448,False,False
1655080679999,26774.00000000,26789.39857142857,26751.476044444382,False,False
1655080739999,26737.21000000,26784.054285714286,26742.026137198005,False,False
1655080799999,26701.88000000,26780.309999999998,26728.444566183513,False,False
1655080859999,26609.04000000,26751.86857142857,26707.5682376811,False,False
1655080919999,26690.23000000,26730.90142857143,26675.736332367087,False,False
1655080979999,26681.35000000,26711.98285714286,26650.608589371917,False,False
1655081039999,26664.75000000,26694.065714285716,26618.537514975782,False,False
1655081099999,26590.00000000,26667.780000000002,26592.568257004772,False,False
1655081159999,26629.36000000,26652.372857142855,26565.516857970957,False,False
1655081219999,26566.19000000,26632.98857142857,26544.9839903381,False,False
1655081279999,26543.25000000,26623.59,26530.932245410564,False,False
1655081339999,26505.99000000,26597.269999999997,26515.40894685984,False,False
1655081399999,26453.67000000,26564.744285714285,26502.08122512071,False,False
1655081459999,26346.69000000,26519.307142857142,26484.564287922647,False,False
1655081519999,26340.92000000,26483.72428571428,26461.963839613465,False,False
1655081579999,26398.68000000,26450.77,26443.3201024154,False,False
1655081639999,26537.36000000,26446.65142857143,26421.043317874333,False,False
1655081699999,26452.44000000,26433.678571428572,26408.961791304286,False,False
1655081759999,26543.47000000,26439.032857142858,26404.984535265638,False,False
1655081819999,26456.94000000,26439.5,26403.247513043418,False,False
1655081879999,26417.22000000,26449.575714285715,26399.899628985448,False,False
1655081939999,26380.81000000,26455.274285714288,26394.995501449215,False,False
1655081999999,26307.16000000,26442.2,26391.635681159358,False,False
1655082059999,26317.17000000,26410.744285714285,26392.942241545832,False,False
1655082119999,26264.69000000,26383.922857142858,26393.0910550724,True,False
1655082179999,26337.10000000,26354.441428571427,26387.8122550724,False,False
1655082239999,26442.05000000,26352.314285714285,26371.421592270468,False,False
1655082299999,26409.61000000,26351.227142857144,26350.32529275356,False,True
1655082359999,26424.56000000,26357.477142857144,26329.62151111105,False,False
1655082419999,26385.48000000,26368.66571428571,26304.76864154583,False,False
1655082479999,26287.45000000,26364.420000000002,26277.988747826024,False,False
1655082539999,26260.58000000,26363.83285714286,26260.845860869504,False,False
1655082599999,26220.10000000,26347.11857142857,26245.094477294624,False,False
1655082659999,26306.68000000,26327.780000000002,26231.476740096557,False,False
1655082719999,26251.63000000,26305.211428571427,26215.762175845353,False,False
1655082779999,26146.85000000,26265.53857142857,26195.39327922699,False,False
1655082839999,26092.37000000,26223.66571428571,26176.518755555495,False,False
1655082899999,26073.75000000,26193.13714285714,26151.47294879221,False,False
1655082959999,26069.70000000,26165.86857142857,26132.073453140038,False,False
1655083019999,26041.92000000,26140.41428571429,26114.904272463704,False,False
1655083079999,26000.02000000,26096.605714285713,26100.234374879165,True,False
1655083139999,26195.51000000,26088.588571428572,26087.442085024097,False,True
1655083199999,26190.09000000,26094.765714285717,26077.17188985501,False,False
1655083259999,26176.75000000,26106.820000000003,26066.54482125598,False,False
1655083319999,26119.66000000,26113.378571428573,26055.715072463707,False,False
1655083379999,26059.70000000,26111.95,26052.32034589366,False,False
1655083439999,26056.10000000,26113.975714285712,26059.70805410622,False,False
1655083499999,26042.24000000,26120.007142857143,26067.23772367144,False,False
1655083559999,25994.84000000,26091.339999999997,26063.339752656946,False,False
1655083619999,26005.14000000,26064.91857142857,26059.805383574814,False,False
1655083679999,25949.73000000,26032.48714285714,26058.020432850182,True,False
1655083739999,26036.52000000,26020.610000000004,26052.14497584535,False,False
1655083799999,26023.30000000,26015.41,26044.773128502355,False,False
1655083859999,26086.31000000,26019.725714285712,26035.53319227047,False,False
1655083919999,26107.30000000,26029.02,26036.728206763226,False,False
1655083979999,26101.16000000,26044.208571428575,26043.794780676268,False,True
